"rules","support","confidence","coverage","lift","count"
"{live} => {one}",0.0114472608340147,0.4375,0.0261651676206051,2.78678385416667,14
"{one} => {live}",0.0114472608340147,0.0729166666666667,0.15699100572363,2.78678385416667,14
"{rose} => {like}",0.0114472608340147,0.311111111111111,0.0367947669664759,1.94126984126984,14
"{like} => {rose}",0.0114472608340147,0.0714285714285714,0.160261651676206,1.94126984126984,14
"{rose} => {upon}",0.0114472608340147,0.311111111111111,0.0367947669664759,1.91200446677834,14
"{upon} => {rose}",0.0114472608340147,0.0703517587939698,0.162714636140638,1.91200446677834,14
"{low} => {like}",0.0106295993458708,0.382352941176471,0.0278004905968929,2.38580432172869,13
"{like} => {low}",0.0106295993458708,0.0663265306122449,0.160261651676206,2.38580432172869,13
"{today} => {one}",0.0130825838103025,0.390243902439024,0.0335241210139002,2.48577235772358,16
"{one} => {today}",0.0130825838103025,0.0833333333333333,0.15699100572363,2.48577235772358,16
"{purple} => {upon}",0.0114472608340147,0.325581395348837,0.0351594439901881,2.00093490709361,14
"{upon} => {purple}",0.0114472608340147,0.0703517587939698,0.162714636140638,2.00093490709361,14
"{behind} => {one}",0.0106295993458708,0.317073170731707,0.0335241210139002,2.01969004065041,13
"{one} => {behind}",0.0106295993458708,0.0677083333333333,0.15699100572363,2.01969004065041,13
"{name} => {one}",0.0106295993458708,0.30952380952381,0.0343417825020442,1.97160218253968,13
"{one} => {name}",0.0106295993458708,0.0677083333333333,0.15699100572363,1.97160218253968,13
"{two} => {one}",0.0171708912510221,0.5,0.0343417825020442,3.18489583333333,21
"{one} => {two}",0.0171708912510221,0.109375,0.15699100572363,3.18489583333333,21
"{fingers} => {like}",0.0106295993458708,0.325,0.0327064595257563,2.02793367346939,13
"{like} => {fingers}",0.0106295993458708,0.0663265306122449,0.160261651676206,2.02793367346939,13
"{thought} => {one}",0.0122649223221586,0.326086956521739,0.0376124284546198,2.07710597826087,15
"{one} => {thought}",0.0122649223221586,0.078125,0.15699100572363,2.07710597826087,15
"{heart} => {little}",0.0130825838103025,0.275862068965517,0.0474243663123467,2.4447776111944,16
"{little} => {heart}",0.0130825838103025,0.115942028985507,0.112837285363859,2.4447776111944,16
"{grace} => {one}",0.0106295993458708,0.317073170731707,0.0335241210139002,2.01969004065041,13
"{one} => {grace}",0.0106295993458708,0.0677083333333333,0.15699100572363,2.01969004065041,13
"{snow} => {go}",0.0106295993458708,0.282608695652174,0.0376124284546198,3.26066447908121,13
"{go} => {snow}",0.0106295993458708,0.122641509433962,0.0866721177432543,3.26066447908121,13
"{snow} => {like}",0.0122649223221586,0.326086956521739,0.0376124284546198,2.03471606033718,15
"{like} => {snow}",0.0122649223221586,0.076530612244898,0.160261651676206,2.03471606033718,15
"{might} => {life}",0.0106295993458708,0.302325581395349,0.0351594439901881,3.624943000456,13
"{life} => {might}",0.0106295993458708,0.127450980392157,0.0834014717906787,3.624943000456,13
"{might} => {know}",0.0114472608340147,0.325581395348837,0.0351594439901881,2.74611066559743,14
"{know} => {might}",0.0114472608340147,0.096551724137931,0.118560915780867,2.74611066559743,14
"{might} => {upon}",0.0106295993458708,0.302325581395349,0.0351594439901881,1.85801098515835,13
"{upon} => {might}",0.0106295993458708,0.0653266331658292,0.162714636140638,1.85801098515835,13
"{place} => {face}",0.0122649223221586,0.283018867924528,0.0433360588716271,3.56837191207936,15
"{face} => {place}",0.0122649223221586,0.154639175257732,0.0793131643499591,3.56837191207936,15
"{place} => {day}",0.0106295993458708,0.245283018867925,0.0433360588716271,1.91070784761447,13
"{day} => {place}",0.0106295993458708,0.0828025477707006,0.128372853638594,1.91070784761447,13
"{place} => {upon}",0.0163532297628782,0.377358490566038,0.0433360588716271,2.31914288423248,20
"{upon} => {place}",0.0163532297628782,0.100502512562814,0.162714636140638,2.31914288423248,20
"{sweet} => {little}",0.0106295993458708,0.254901960784314,0.0417007358953393,2.25902244955953,13
"{little} => {sweet}",0.0106295993458708,0.0942028985507246,0.112837285363859,2.25902244955953,13
"{air} => {upon}",0.0106295993458708,0.288888888888889,0.0367947669664759,1.77543271915131,13
"{upon} => {air}",0.0106295993458708,0.0653266331658292,0.162714636140638,1.77543271915131,13
"{wind} => {like}",0.0106295993458708,0.288888888888889,0.0367947669664759,1.80260770975057,13
"{like} => {wind}",0.0106295993458708,0.0663265306122449,0.160261651676206,1.80260770975057,13
"{house} => {know}",0.0114472608340147,0.28,0.0408830744071954,2.36165517241379,14
"{know} => {house}",0.0114472608340147,0.096551724137931,0.118560915780867,2.36165517241379,14
"{house} => {away}",0.0106295993458708,0.26,0.0408830744071954,2.02535031847134,13
